MES;FECHA;PROVINCIA;CONFIRMADOS;FALLECIDOS;CONFIRMADOS_TOTAL;FALLECIDOS_ACUM;
2020-03;2020-03-03;CABA;1;0;1;0;
2020-03;2020-03-04;;0;0;1;0;
2020-03;2020-03-05;CABA;1;0;2;0;
2020-03;2020-03-06;CABA;4;0;6;0;
2020-03;2020-03-06;BUENOS AIRES;1;0;7;0;
2020-03;2020-03-06;CÓRDOBA;1;0;8;0;
2020-03;2020-03-07;BUENOS AIRES;0;1;8;1;
2020-03;2020-03-08;CABA;2;0;10;1;
2020-03;2020-03-08;BUENOS AIRES;2;0;12;1;
2020-03;2020-03-09;CABA;1;0;13;1;
2020-03;2020-03-09;SAN LUIS;1;0;14;1;
2020-03;2020-03-09;CHACO;2;0;16;1;
2020-03;2020-03-09;RÍO NEGRO;1;0;17;1;
2020-03;2020-03-10;CABA;1;0;18;1;
2020-03;2020-03-10;BUENOS AIRES;1;0;19;1;
2020-03;2020-03-11;CABA;1;0;20;1;
2020-03;2020-03-11;BUENOS AIRES;1;0;21;1;
2020-03;2020-03-12;CÓRDOBA;2;0;23;1;
2020-03;2020-03-12;BUENOS AIRES;3;0;26;1;
2020-03;2020-03-12;CHACO;2;0;28;1;
2020-03;2020-03-12;CABA;3;0;31;1;
2020-03;2020-03-13;BUENOS AIRES;1;0;32;1;
2020-03;2020-03-13;CABA;2;0;34;1;
2020-03;2020-03-13;CHACO;0;1;34;2;
2020-03;2020-03-14;CABA;7;0;41;2;
2020-03;2020-03-14;SANTA FE;1;0;42;2;
2020-03;2020-03-14;CHACO;1;0;43;2;
2020-03;2020-03-14;BUENOS AIRES;2;0;45;2;
2020-03;2020-03-15;CABA;6;0;51;2;
2020-03;2020-03-15;CHACO;2;0;53;2;
2020-03;2020-03-15;TIERRA DEL FUEGO;2;0;55;2;
2020-03;2020-03-15;BUENOS AIRES;1;0;56;2;
2020-03;2020-03-16;CABA;5;0;61;2;
2020-03;2020-03-16;CHACO;3;0;64;2;
2020-03;2020-03-16;BUENOS AIRES;1;0;65;2;
2020-03;2020-03-17;CABA;4;0;69;2;
2020-03;2020-03-17;BUENOS AIRES;2;0;71;2;
2020-03;2020-03-17;CHACO;1;0;72;2;
2020-03;2020-03-17;CÓRDOBA;2;0;74;2;
2020-03;2020-03-17;JUJUY;1;0;75;2;
2020-03;2020-03-17;SALTA;1;0;76;2;
2020-03;2020-03-17;RÍO NEGRO;1;0;77;2;
2020-03;2020-03-17;ENTRE RÍOS;1;0;78;2;
2020-03;2020-03-17;SANTA CRUZ;1;0;79;2;
2020-03;2020-03-18;CABA;10;1;89;3;
2020-03;2020-03-18;CHACO;1;0;90;3;
2020-03;2020-03-18;BUENOS AIRES;5;0;95;3;
2020-03;2020-03-18;CÓRDOBA;1;0;96;3;
2020-03;2020-03-18;ENTRE RÍOS;1;0;97;3;
2020-03;2020-03-19;BUENOS AIRES;15;0;112;3;
2020-03;2020-03-19;CABA;8;0;120;3;
2020-03;2020-03-19;CÓRDOBA;3;0;123;3;
2020-03;2020-03-19;CHACO;2;0;125;3;
2020-03;2020-03-19;TUCUMÁN;1;0;126;3;
2020-03;2020-03-19;SANTA FE;1;0;127;3;
2020-03;2020-03-19;RÍO NEGRO;1;0;128;3;
2020-03;2020-03-20;BUENOS AIRES;9;0;137;3;
2020-03;2020-03-20;CABA;9;0;146;3;
2020-03;2020-03-20;CÓRDOBA;5;0;151;3;
2020-03;2020-03-20;CHACO;1;0;152;3;
2020-03;2020-03-20;TIERRA DEL FUEGO;1;0;153;3;
2020-03;2020-03-20;ENTRE RÍOS;1;0;154;3;
2020-03;2020-03-20;CORRIENTES;1;0;155;3;
2020-03;2020-03-20;NEUQUÉN;2;0;157;3;
2020-03;2020-03-20;SANTIAGO DEL ESTERO;1;0;158;3;
2020-03;2020-03-21;CABA;29;0;187;3;
2020-03;2020-03-21;BUENOS AIRES;15;0;202;3;
2020-03;2020-03-21;CHACO;5;0;207;3;
2020-03;2020-03-21;MENDOZA;5;0;212;3;
