MES,FECHA,PROVINCIA,CONFIRMADOS,CONF_ACUM
03/2020,03/03/2020,CABA,1,1
03/2020,04/03/2020,,0,1
03/2020,05/03/2020,CABA,1,2
03/2020,06/03/2020,CABA,4,6
03/2020,06/03/2020,BUENOS AIRES,1,7
03/2020,06/03/2020,CÓRDOBA,1,8
03/2020,07/03/2020,BUENOS AIRES,0,8
03/2020,08/03/2020,CABA,2,10
03/2020,08/03/2020,BUENOS AIRES,2,12
03/2020,09/03/2020,CABA,1,13
03/2020,09/03/2020,SAN LUIS,1,14
03/2020,09/03/2020,CHACO,2,16
03/2020,09/03/2020,RÍO NEGRO,1,17
03/2020,10/03/2020,CABA,1,18
03/2020,10/03/2020,BUENOS AIRES,1,19
03/2020,11/03/2020,CABA,1,20
03/2020,11/03/2020,BUENOS AIRES,1,21
03/2020,12/03/2020,CÓRDOBA,2,23
03/2020,12/03/2020,BUENOS AIRES,3,26
03/2020,12/03/2020,CHACO,2,28
03/2020,12/03/2020,CABA,3,31
03/2020,13/03/2020,BUENOS AIRES,1,32
03/2020,13/03/2020,CABA,2,34
03/2020,14/03/2020,CABA,7,41
03/2020,14/03/2020,SANTA FE,1,42
03/2020,14/03/2020,CHACO,1,43
03/2020,14/03/2020,BUENOS AIRES,2,45
03/2020,15/03/2020,CABA,6,51
03/2020,15/03/2020,CHACO,2,53
03/2020,15/03/2020,TIERRA DEL FUEGO,2,55
03/2020,15/03/2020,BUENOS AIRES,1,56
03/2020,16/03/2020,CABA,5,61
03/2020,16/03/2020,CHACO,3,64
03/2020,16/03/2020,BUENOS AIRES,1,65
03/2020,17/03/2020,CABA,4,69
03/2020,17/03/2020,BUENOS AIRES,2,71
03/2020,17/03/2020,CHACO,1,72
03/2020,17/03/2020,CÓRDOBA,2,74
03/2020,17/03/2020,JUJUY,1,75
03/2020,17/03/2020,SALTA,1,76
03/2020,17/03/2020,RÍO NEGRO,1,77
03/2020,17/03/2020,ENTRE RÍOS,1,78
03/2020,17/03/2020,SANTA CRUZ,1,79
03/2020,18/03/2020,CABA,10,89
03/2020,18/03/2020,CHACO,1,90
03/2020,18/03/2020,BUENOS AIRES,5,95
03/2020,18/03/2020,CÓRDOBA,1,96
03/2020,18/03/2020,ENTRE RÍOS,1,97
03/2020,19/03/2020,BUENOS AIRES,15,112
03/2020,19/03/2020,CABA,8,120
03/2020,19/03/2020,CÓRDOBA,3,123
03/2020,19/03/2020,CHACO,2,125
03/2020,19/03/2020,TUCUMÁN,1,126
03/2020,19/03/2020,SANTA FE,1,127
03/2020,19/03/2020,RÍO NEGRO,1,128
03/2020,20/03/2020,BUENOS AIRES,9,137
03/2020,20/03/2020,CABA,9,146
03/2020,20/03/2020,CÓRDOBA,5,151
03/2020,20/03/2020,CHACO,1,152
03/2020,20/03/2020,TIERRA DEL FUEGO,1,153
03/2020,20/03/2020,ENTRE RÍOS,1,154
03/2020,20/03/2020,CORRIENTES,1,155
03/2020,20/03/2020,NEUQUÉN,2,157
03/2020,20/03/2020,SANTIAGO DEL ESTERO,1,158
03/2020,21/03/2020,CABA,29,187
03/2020,21/03/2020,BUENOS AIRES,15,202
03/2020,21/03/2020,CHACO,5,207
03/2020,21/03/2020,MENDOZA,5,212
03/2020,21/03/2020,CÓRDOBA,4,216
03/2020,21/03/2020,TIERRA DEL FUEGO,3,219
03/2020,21/03/2020,CORRIENTES,2,221
03/2020,21/03/2020,SANTA FE,2,223
03/2020,21/03/2020,TUCUMÁN,1,224
03/2020,21/03/2020,RÍO NEGRO,1,225
03/2020,22/03/2020,CABA,12,237
03/2020,22/03/2020,BUENOS AIRES,8,245
03/2020,22/03/2020,CÓRDOBA,8,253
03/2020,22/03/2020,CHACO,7,260
03/2020,22/03/2020,TUCUMÁN,5,265
03/2020,22/03/2020,MISIONES,1,266
03/2020,23/03/2020,CABA,11,277
03/2020,23/03/2020,BUENOS AIRES,5,282
03/2020,23/03/2020,SANTA FE,13,295
03/2020,23/03/2020,CÓRDOBA,2,297
03/2020,23/03/2020,CHACO,4,301
03/2020,24/03/2020,BUENOS AIRES,30,331
03/2020,24/03/2020,CABA,30,361
03/2020,24/03/2020,CHACO,9,370
03/2020,24/03/2020,CÓRDOBA,7,377
03/2020,24/03/2020,TIERRA DEL FUEGO,4,381
03/2020,24/03/2020,SANTA FE,3,384
03/2020,24/03/2020,LA PAMPA,1,385
03/2020,24/03/2020,NEUQUÉN,1,386
03/2020,24/03/2020,SANTA CRUZ,1,387
03/2020,25/03/2020,BUENOS AIRES,29,416
03/2020,25/03/2020,SANTA FE,22,438
03/2020,25/03/2020,CABA,20,458
03/2020,25/03/2020,CÓRDOBA,15,473
03/2020,25/03/2020,CHACO,12,485
03/2020,25/03/2020,SANTA CRUZ,5,490
03/2020,25/03/2020,SAN LUIS,4,494
03/2020,25/03/2020,ENTRE RÍOS,3,497
03/2020,25/03/2020,TUCUMÁN,2,499
03/2020,25/03/2020,MENDOZA,1,500
03/2020,25/03/2020,NEUQUÉN,1,501
03/2020,25/03/2020,TIERRA DEL FUEGO,1,502
03/2020,26/03/2020,CABA,30,532
03/2020,26/03/2020,BUENOS AIRES,27,559
03/2020,26/03/2020,SANTA FE,12,571
03/2020,26/03/2020,CHACO,3,574
03/2020,26/03/2020,CÓRDOBA,3,577
03/2020,26/03/2020,TIERRA DEL FUEGO,3,580
03/2020,26/03/2020,NEUQUÉN,3,583
03/2020,26/03/2020,JUJUY,2,585
03/2020,26/03/2020,SANTA CRUZ,2,587
03/2020,26/03/2020,MENDOZA,1,588
03/2020,26/03/2020,SAN LUIS,1,589
03/2020,27/03/2020,CABA,30,619
03/2020,27/03/2020,BUENOS AIRES,35,654
03/2020,27/03/2020,CHACO,5,659
03/2020,27/03/2020,CÓRDOBA,1,660
03/2020,27/03/2020,TUCUMÁN,6,666
03/2020,27/03/2020,SANTA FE,10,676
03/2020,27/03/2020,ENTRE RÍOS,4,680
03/2020,27/03/2020,NEUQUÉN,3,683
03/2020,27/03/2020,MENDOZA,1,684
03/2020,27/03/2020,RÍO NEGRO,4,688
03/2020,27/03/2020,CORRIENTES,1,689
03/2020,27/03/2020,SANTIAGO DEL ESTERO,1,690
03/2020,27/03/2020,MISIONES,0,690
03/2020,28/03/2020,CABA,18,708
03/2020,28/03/2020,BUENOS AIRES,8,716
03/2020,28/03/2020,SANTA FE,13,729
03/2020,28/03/2020,CHACO,5,734
03/2020,28/03/2020,CÓRDOBA,1,735
03/2020,28/03/2020,TIERRA DEL FUEGO,3,738
03/2020,28/03/2020,NEUQUÉN,2,740
03/2020,28/03/2020,MENDOZA,1,741
03/2020,28/03/2020,CORRIENTES,4,745
03/2020,29/03/2020,BUENOS AIRES,16,761
