MES;FECHA;PROVINCIA;CONFIRMADOS;CONFIRMADOS_ACUM;FALLECIDOS;FALLECIDOS_ACUM
2020-03;2020-03-03;CABA;1;1;0;0
2020-03;2020-03-04;;0;1;0;0
2020-03;2020-03-05;CABA;1;2;0;0
2020-03;2020-03-06;CABA;4;6;0;0
2020-03;2020-03-06;BUENOS AIRES;1;7;0;0
2020-03;2020-03-06;CÓRDOBA;1;8;0;0
2020-03;2020-03-07;BUENOS AIRES;0;8;1;1
2020-03;2020-03-08;CABA;2;10;0;1
2020-03;2020-03-08;BUENOS AIRES;2;12;0;1
2020-03;2020-03-09;CABA;1;13;0;1
2020-03;2020-03-09;SAN LUIS;1;14;0;1
2020-03;2020-03-09;CHACO;2;16;0;1
2020-03;2020-03-09;RÍO NEGRO;1;17;0;1
2020-03;2020-03-10;CABA;1;18;0;1
2020-03;2020-03-10;BUENOS AIRES;1;19;0;1
2020-03;2020-03-11;CABA;1;20;0;1
2020-03;2020-03-11;BUENOS AIRES;1;21;0;1
2020-03;2020-03-12;CÓRDOBA;2;23;0;1
2020-03;2020-03-12;BUENOS AIRES;3;26;0;1
2020-03;2020-03-12;CHACO;2;28;0;1
2020-03;2020-03-12;CABA;3;31;0;1
2020-03;2020-03-13;BUENOS AIRES;1;32;0;1
2020-03;2020-03-13;CABA;2;34;0;1
2020-03;2020-03-13;CHACO;0;34;1;2
2020-03;2020-03-14;CABA;7;41;0;2
2020-03;2020-03-14;SANTA FE;1;42;0;2
2020-03;2020-03-14;CHACO;1;43;0;2
2020-03;2020-03-14;BUENOS AIRES;2;45;0;2
2020-03;2020-03-15;CABA;6;51;0;2
2020-03;2020-03-15;CHACO;2;53;0;2
2020-03;2020-03-15;TIERRA DEL FUEGO;2;55;0;2
2020-03;2020-03-15;BUENOS AIRES;1;56;0;2
2020-03;2020-03-16;CABA;5;61;0;2
2020-03;2020-03-16;CHACO;3;64;0;2
2020-03;2020-03-16;BUENOS AIRES;1;65;0;2
2020-03;2020-03-17;CABA;4;69;0;2
2020-03;2020-03-17;BUENOS AIRES;2;71;0;2
2020-03;2020-03-17;CHACO;1;72;0;2
2020-03;2020-03-17;CÓRDOBA;2;74;0;2
2020-03;2020-03-17;JUJUY;1;75;0;2
2020-03;2020-03-17;SALTA;1;76;0;2
2020-03;2020-03-17;RÍO NEGRO;1;77;0;2
2020-03;2020-03-17;ENTRE RÍOS;1;78;0;2
2020-03;2020-03-17;SANTA CRUZ;1;79;0;2
2020-03;2020-03-18;CABA;10;89;1;3
2020-03;2020-03-18;CHACO;1;90;0;3
2020-03;2020-03-18;BUENOS AIRES;5;95;0;3
2020-03;2020-03-18;CÓRDOBA;1;96;0;3
2020-03;2020-03-18;ENTRE RÍOS;1;97;0;3
2020-03;2020-03-19;BUENOS AIRES;15;112;0;3
2020-03;2020-03-19;CABA;8;120;0;3
